spot,time,delta,gamma,theta
80.0,0.05,3.8277312277688435e-05,3.5798746826629136e-05,-1.9697536808188244e-05
80.0,0.08717948717948718,0.0014671288462815338,0.0008097333482588175,-0.0004467724937430787
80.0,0.12435897435897436,0.006692887701118388,0.002655234146188788,-0.0014687728817955096
80.0,0.16153846153846152,0.015576575245908,0.004865208853134621,-0.0026976419028099555
80.0,0.19871794871794873,0.026828757684317413,0.006952002810606938,-0.0038633053365658677
80.0,0.2358974358974359,0.039315368894385506,0.00874370913776535,-0.004869172584540545
80.0,0.27307692307692305,0.05227679008687947,0.010218361548057199,-0.005701669313781683
80.0,0.31025641025641026,0.0652498443903318,0.01140773413679131,-0.006377314519392916
80.0,0.3474358974358974,0.07796635257650816,0.012356926361148499,-0.006920340190448281
80.0,0.3846153846153846,0.09027909090276007,0.013109509493320194,-0.007354387984848854
80.0,0.4217948717948718,0.10211421299371534,0.013702997942415208,-0.00769992509034944
80.0,0.45897435897435895,0.11344186193793963,0.01416821449781151,-0.007973834589660249
80.0,0.4961538461538461,0.12425821751549194,0.014529975673398667,-0.008189754205449647
80.0,0.5333333333333333,0.13457453946933218,0.014808103209169166,-0.008358608751644512
80.0,0.5705128205128206,0.14441046957319253,0.015018401759007127,-0.008489132991769274
80.0,0.6076923076923078,0.1537899357000366,0.015173492787354758,-0.008588321047440037
80.0,0.6448717948717949,0.16273865627438014,0.015283489467076217,-0.00866179188910433
80.0,0.6820512820512821,0.1712826358993607,0.01535652980439124,-0.008714079072558223
80.0,0.7192307692307692,0.17944727830560053,0.015399193208809439,-0.008748857771444747
80.0,0.7564102564102565,0.1872568849887654,0.015416824738495642,-0.008769121916767148
80.0,0.7935897435897437,0.19473439470865458,0.015413787507030194,-0.008777322384072497
80.0,0.8307692307692308,0.20190127258170834,0.015393659635995503,-0.008775475031599698
80.0,0.867948717948718,0.2087774908980211,0.015359388508337825,-0.008765245471320062
80.0,0.9051282051282051,0.2153815648289463,0.015313412121520495,-0.00874801587670485
80.0,0.9423076923076923,0.22173061955676784,0.015257755025207532,-0.008724937888788541
80.0,0.9794871794871796,0.22784047391381207,0.01519410455211133,-0.008696974724992333
80.0,1.0166666666666666,0.23372573112771894,0.015123871700904378,-0.008664934865642826
80.0,1.0538461538461539,0.23939987083138178,0.015048240008573695,-0.008629499139639084
80.0,1.0910256410256411,0.2448753388027835,0.014968204976982855,-0.008591242611235771
80.0,1.1282051282051282,0.2501636323923288,0.014884606033183284,-0.008550652351592063
80.0,1.1653846153846155,0.25527538055633253,0.014798152558476194,-0.008508141936547083
80.0,1.2025641025641025,0.26022041802840723,0.014709445182302954,-0.008464063327160855
80.0,1.2397435897435898,0.26500785354513795,0.014618993277548413,-0.008418716647781689
80.0,1.276923076923077,0.2696461322771505,0.01452722939426019,-0.008372358267215002
80.0,1.314102564102564,0.2741430927532239,0.014434521214559256,-0.008325207504090914
80.0,1.3512820512820514,0.2785060186377729,0.014341181491765508,-0.00827745221185641
80.0,1.3884615384615384,0.28274168575358605,0.014247476343332849,-0.008229253447522974
80.0,1.4256410256410257,0.28685640474727125,0.01415363219394888,-0.008180749388045343
80.0,1.462820512820513,0.2908560597844656,0.01405984160747258,-0.008132058626468222
80.0,1.5,0.2947461436421338,0.01396626820074599,-0.008083282954839297
80.9090909090909,0.05,8.743142120588566e-05,7.713693032588712e-05,-4.342160015133313e-05
80.9090909090909,0.08717948717948718,0.0023901591835090693,0.0012476118444574454,-0.0007043192673934772
80.9090909090909,0.12435897435897436,0.009508754435963293,0.0035750089892861965,-0.002023541250184136
80.9090909090909,0.16153846153846152,0.020541986813826008,0.006090743251679724,-0.0034559481780188465
80.9090909090909,0.19871794871794873,0.03375723292747156,0.008315719119179606,-0.004729216326521393
80.9090909090909,0.2358974358974359,0.04788960664303686,0.010137743681271825,-0.00577781171282227
80.9090909090909,0.27307692307692305,0.06218029581818581,0.01158165733549172,-0.006614139468979581
80.9090909090909,0.31025641025641026,0.07620826176464546,0.012708517740081726,-0.007271633072069638
80.9090909090909,0.3474358974358974,0.08975416390806143,0.01358050430237042,-0.0077847759140083446
80.9090909090909,0.3846153846153846,0.10271487722250576,0.01425084309954236,-0.00818326692128696
80.9090909090909,0.4217948717948718,0.11505316713592023,0.014762367247519552,-0.008491106190364452
80.9090909090909,0.45897435897435895,0.12676855157482234,0.015148718521910073,-0.008727207922960117
80.9090909090909,0.4961538461538461,0.13788045650908895,0.015436098545948644,-0.00890634800733625
80.9090909090909,0.5333333333333333,0.14841846193167235,0.015644896643597254,-0.00904005749507472
80.9090909090909,0.5705128205128206,0.1584166583564084,0.015791025086845486,-0.009137360584402638
80.9090909090909,0.6076923076923078,0.16791040625408787,0.015886961298783902,-0.009205353199375396
80.9090909090909,0.6448717948717949,0.1769345113375845,0.015942544352291022,-0.009249646619533142
80.9090909090909,0.6820512820512821,0.1855222385426272,0.015965578888687722,-0.009274704744863554
80.9090909090909,0.7192307692307692,0.19370482333956163,0.015962292474972238,-0.009284100100846092
80.9090909090909,0.7564102564102565,0.20151127640623182,0.015937682813911506,-0.009280708593192147
80.9090909090909,0.7935897435897437,0.2089683588141645,0.015895782505166923,-0.00926685830353688
80.9090909090909,0.8307692307692308,0.21610065337196915,0.015839862051031897,-0.00924444378907698
80.9090909090909,0.867948717948718,0.2229306870743251,0.015772586455437193,-0.009215014411063231
80.9090909090909,0.9051282051282051,0.22947907747512658,0.015696136784014658,-0.009179843020034925
80.9090909090909,0.9423076923076923,0.23576468677516013,0.01561230512034179,-0.009139979702262989
80.9090909090909,0.9794871794871796,0.24180477417873897,0.01552256920122858,-0.009096294097554742
80.9090909090909,1.0166666666666666,0.2476151412469035,0.015428151433945306,-0.0090495089200366
80.9090909090909,1.0538461538461539,0.25321026754042003,0.0153300658353183,-0.009000226665704396
80.9090909090909,1.0910256410256411,0.2586034354082971,0.015229155573021973,-0.00894895101092792
80.9090909090909,1.1282051282051282,0.2638068437119709,0.015126123150833051,-0.008896104049293826
80.9090909090909,1.1653846153846155,0.26883171081628715,0.015021554802622818,-0.008842040247282454
80.9090909090909,1.2025641025641025,0.2736883674736503,0.014915940301496115,-0.008787057798498516
80.9090909090909,1.2397435897435898,0.27838634037065346,0.01480968911965156,-0.008731407904251698
80.9090909090909,1.276923076923077,0.2829344271564373,0.01470314366864619,-0.008675302392650623
80.9090909090909,1.314102564102564,0.2873407637665493,0.014596590192312773,-0.00861891999985203
80.9090909090909,1.3512820512820514,0.2916128848190255,0.014490267763505964,-0.008562411568953317
80.9090909090909,1.3884615384615384,0.29575777780574586,0.014384375742225236,-0.008505904369252559
80.9090909090909,1.4256410256410257,0.299781931741159,0.014279079979865082,-0.008449505697529175
80.9090909090909,1.462820512820513,0.3036913808678733,0.014174517997443846,-0.008393305890861898
80.9090909090909,1.5,0.3074917439577392,0.014070803320964543,-0.008337380855227236
81.81818181818181,0.05,0.00019047354166788278,0.00015830104739326985,-9.114310533816518e-05
81.81818181818181,0.08717948717948718,0.0037911935458709934,0.0018694436518636474,-0.0010795629237882818
81.81818181818181,0.12435897435897436,0.013261355412798749,0.004720554151803819,-0.0027334584570210957
81.81818181818181,0.16153846153846152,0.02670998364949549,0.007511875277950452,-0.004360757449462395
81.81818181818181,0.19871794871794873,0.04199307736046104,0.009827213241460407,-0.0057182508222873175
81.81818181818181,0.2358974358974359,0.057778981124389506,0.011635119927108403,-0.006785145062486247
81.81818181818181,0.27307692307692305,0.07335481378166797,0.013012410321093121,-0.007604069277687619
81.81818181818181,0.31025641025641026,0.08836837434891397,0.014049296154172941,-0.008226102678154119
81.81818181818181,0.3474358974358974,0.10266408595585448,0.014823549499909829,-0.00869559975990406
81.81818181818181,0.3846153846153846,0.11619102185719432,0.015396477113118095,-0.009047683212288502
81.81818181818181,0.4217948717948718,0.12895281371981843,0.01581491159732689,-0.009309279413534485
81.81818181818181,0.45897435897435895,0.1409804612130972,0.016114291220026365,-0.009500828093756745
81.81818181818181,0.4961538461538461,0.15231755029623192,0.016321434383473492,-0.009637843570953352
81.81818181818181,0.5333333333333333,0.1630122390765904,0.01645672735719903,-0.009732153833686088
81.81818181818181,0.5705128205128206,0.17311297249890092,0.016535767345131666,-0.009792835010750157
81.81818181818181,0.6076923076923078,0.18266626951195633,0.01657057407005959,-0.00982690258833832
81.81818181818181,0.6448717948717949,0.1917156668805133,0.016570478815991583,-0.009839819917193042
81.81818181818181,0.6820512820512821,0.2003013063927572,0.016542777876939804,-0.00983587280939642
81.81818181818181,0.7192307692307692,0.20845987467948512,0.01649321525249101,-0.009818446820522943
81.81818181818181,0.7564102564102565,0.21622472973906803,0.01642634160566663,-0.009790233853404428
81.81818181818181,0.7935897435897437,0.2236261193422712,0.01634578321086834,-0.009753387246558796
81.81818181818181,0.8307692307692308,0.23069143741317996,0.01625444503715083,-0.009709639097843574
81.81818181818181,0.867948717948718,0.23744548823768763,0.016154665295530158,-0.009660389711644391
81.81818181818181,0.9051282051282051,0.2439107422016287,0.016048333949653742,-0.009606776314794226
81.81818181818181,0.9423076923076923,0.25010757483203083,0.015936984263669185,-0.009549726236697682
81.81818181818181,0.9794871794871796,0.256054485584611,0.01582186402151233,-0.009489998358055361
81.81818181818181,1.0166666666666666,0.2617682954763679,0.01570399130438191,-0.009428215634572686
81.81818181818181,1.0538461538461539,0.26726432412290485,0.015584198453165816,-0.009364890781356418
81.81818181818181,1.0910256410256411,0.2725565474935103,0.015463166927581696,-0.009300446679625096
81.81818181818181,1.1282051282051282,0.27765773803522037,0.015341455104461634,-0.009235232683488841
81.81818181818181,1.1653846153846155,0.2825795889158192,0.015219520564393296,-0.009169537721329698
81.81818181818181,1.2025641025641025,0.28733282410079475,0.015097738049853935,-0.009103600875841618
81.81818181818181,1.2397435897435898,0.29192729587408467,0.014976414004338362,-0.009037619969276106
81.81818181818181,1.276923076923077,0.29637207127470533,0.01485579839603755,-0.00897175856175142
81.81818181818181,1.314102564102564,0.3006755087730667,0.014736094373593384,-0.008906151680455788
81.81818181818181,1.3512820512820514,0.3048453263643468,0.014617466182482637,-0.0088409105288499
81.81818181818181,1.3884615384615384,0.30888866211840693,0.014500045679307745,-0.008776126372186822
81.81818181818181,1.4256410256410257,0.31281212809951425,0.014383937710831077,-0.008711873754882454
81.81818181818181,1.462820512820513,0.31662185845572743,0.014269224569918245,-0.008648213173577946
81.81818181818181,1.5,0.3203235523771359,0.014155969697893202,-0.00858519330497586
82.72727272727273,0.05,0.00039641738336052804,0.00030987875078869367,-0.0001824436790352256
82.72727272727273,0.08717948717948718,0.005860413604090217,0.0027265795612571933,-0.0016102840705294684
82.72727272727273,0.12435897435897436,0.01816756892996156,0.006116660623219044,-0.003622625025606257
82.72727272727273,0.16153846153846152,0.034260136235146656,0.009131423996143442,-0.005422189413379803
82.72727272727273,0.19871794871794873,0.051667153531838504,0.011477997298833396,-0.006832018058753248
82.72727272727273,0.2358974358974359,0.06907176102688574,0.01322277505367571,-0.007888311495563365
82.72727272727273,0.27307692307692305,0.08585539023337461,0.014496445240215382,-0.008666478422646067
82.72727272727273,0.31025641025641026,0.1017604260285624,0.015416401655745359,-0.009234901409994327
82.72727272727273,0.3474358974358974,0.11670819429816054,0.01607357944443289,-0.009646820091613629
82.72727272727273,0.3846153846153846,0.13070641876474068,0.01653532956156614,-0.009941816630028634
82.72727272727273,0.4217948717948718,0.14380254848708288,0.016850946777933244,-0.01014895801936612
82.72727272727273,0.45897435897435895,0.15606019524886772,0.01705654755599512,-0.010289607567169233
82.72727272727273,0.4961538461538461,0.16754730190009792,0.01717876341772988,-0.010379567068036485
82.72727272727273,0.5333333333333333,0.17833033939436968,0.017237400823968387,-0.01043062571335711
82.72727272727273,0.5705128205128206,0.18847163078145063,0.017247326512756192,-0.01045166127581166
82.72727272727273,0.6076923076923078,0.1980282992928925,0.017219801582907326,-0.01044942127864312
82.72727272727273,0.6448717948717949,0.2070520500527495,0.01716343008330602,-0.010429079684660655
82.72727272727273,0.6820512820512821,0.215589365124893,0.017084838853213283,-0.010394636698616335
82.72727272727273,0.7192307692307692,0.22368188751739337,0.016989169290918305,-0.010349208544796125
82.72727272727273,0.7564102564102565,0.23136687501756975,0.016880436562141568,-0.010295239545339039
82.72727272727273,0.7935897435897437,0.23867766189123615,0.01676179455000643,-0.010234658850437601
82.72727272727273,0.8307692307692308,0.24564409768696438,0.016635733143565156,-0.010168997370023055
82.72727272727273,0.867948717948718,0.25229294939189006,0.016504226486431836,-0.01009947581221428
82.72727272727273,0.9051282051282051,0.2586482623397445,0.016368845342116342,-0.01002707154555892
82.72727272727273,0.9423076923076923,0.2647316800594273,0.016230842959267164,-0.009952569797092444
82.72727272727273,0.9794871794871796,0.27056272561086087,0.016091221192029513,-0.009876603160236827
82.72727272727273,1.0166666666666666,0.27615904797149116,0.015950781783750187,-0.009799682304115416
82.72727272727273,1.0538461538461539,0.2815366373257714,0.01581016641222927,-0.009722220007064861
82.72727272727273,1.0910256410256411,0.28671001301875343,0.015669888157056708,-0.009644550086140328
82.72727272727273,1.1282051282051282,0.2916923876593433,0.015530356372460226,-0.009566942396024831
82.72727272727273,1.1653846153846155,0.2964958105079373,0.015391896455916567,-0.009489614780227798
82.72727272727273,1.2025641025641025,0.3011312929163199,0.015254765640596009,-0.009412742643835821
82.72727272727273,1.2397435897435898,0.30560891823566655,0.0151191656716127,-0.009336466658755345
82.72727272727273,1.276923076923077,0.3099379382858042,0.014985253026091098,-0.009260898994155322
82.72727272727273,1.314102564102564,0.31412685819105995,0.014853147186832722,-0.009186128375884667
82.72727272727273,1.3512820512820514,0.31818351113563403,0.014722937365724704,-0.00911222421127922
82.72727272727273,1.3884615384615384,0.32211512437253986,0.014594687986495781,-0.009039239964416232
82.72727272727273,1.4256410256410257,0.32592837763165516,0.014468443170115851,-0.008967215927471227
