stock,strike,maturity,spot,vol,div_yield,price,delta,gamma,theta,vega,moneyness
MCD,150.0,0.1,250.0,0.15,0.025,99.67548079926505,0.9975031223974601,1.9079605815342663e-27,0.008877776764334593,1.788713045188375e-26,0.6
MCD,150.0,0.2,250.0,0.15,0.025,99.35192139657187,0.995012479192671,5.256680975584084e-15,0.008851517881968715,9.856276829220158e-14,0.6
MCD,150.0,0.30000000000000004,250.0,0.15,0.025,99.02931909738305,0.992528054602533,6.742217749328816e-11,0.00882533261039619,1.8962487419987303e-09,0.6
MCD,150.0,0.4,250.0,0.15,0.025,98.70767134185365,0.9900498027114681,7.308699064995777e-09,0.00879920696245857,2.7407621493734165e-07,0.6
MCD,150.0,0.5,250.0,0.15,0.025,98.3869782933036,0.9875771771011373,1.1842399394888923e-07,0.008772952795539038,5.551124716354183e-06,0.6
MCD,150.0,0.6,250.0,0.15,0.025,98.0672567234848,0.9851072713735926,7.450367393695301e-07,0.00874576813624471,4.190831658953607e-05,0.6
MCD,150.0,0.7000000000000001,250.0,0.15,0.025,97.7485685128546,0.9826323892437523,2.7364622525348355e-06,0.008715993922713614,0.00017958033532259858,0.6
MCD,150.0,0.8,250.0,0.15,0.025,97.43104693045666,0.9801395272842562,7.1907883292280816e-06,0.00868147760183689,0.0005393091246921061,0.6
MCD,150.0,0.9,250.0,0.15,0.025,97.11490310507068,0.977612273654873,1.5130333235419513e-05,0.008640205174284524,0.0012766218667385216,0.6
MCD,150.0,1.0,250.0,0.15,0.025,96.80041171622716,0.9750336602407716,2.7268651428020237e-05,0.008590759011205974,0.0025564360713768975,0.6
MCD,160.0,0.1,250.0,0.15,0.025,89.69546081259173,0.9975031223974601,1.777593697052287e-21,0.008330926354105917,1.6664940909865194e-20,0.64
MCD,160.0,0.2,250.0,0.15,0.025,89.39184150316265,0.9950124791800845,5.119600242125798e-12,0.008305760069694905,9.599250453985871e-11,0.64
MCD,160.0,0.30000000000000004,250.0,0.15,0.025,89.0891395436307,0.992528030495892,6.664194239443406e-09,0.008280652447207956,1.874304629843459e-07,0.64
MCD,160.0,0.4,250.0,0.15,0.025,88.78735730054618,0.990048725771707,2.301416241026486e-07,0.00825519516409893,8.630310903849322e-06,0.64
MCD,160.0,0.5,250.0,0.15,0.025,88.48654190065369,0.9875666197608622,1.8772448861755022e-06,0.008227038835352219,8.799585403947667e-05,0.64
MCD,160.0,0.6,250.0,0.15,0.025,88.1868761253427,0.9850590536986835,7.4738263610931666e-06,0.008191250151972782,0.00042040273281149064,0.64
MCD,160.0,0.7000000000000001,250.0,0.15,0.025,87.8887406405357,0.9824903632668781,1.9797704574602838e-05,0.008142376728398067,0.0012992243627083114,0.64
